,mean,median
g6258,0.011363636363636364,0.0
g6259,0.011363636363636364,0.0
g6260,0.011363636363636364,0.0
g6261,0.011363636363636364,0.0
g6262,0.011363636363636364,0.0
g6263,0.011363636363636364,0.0
g6264,0.011363636363636364,0.0
g6265,0.011363636363636364,0.0
g6266,0.011363636363636364,0.0
g6267,0.011363636363636364,0.0
g6268,0.011363636363636364,0.0
g6269,0.011363636363636364,0.0
g6270,0.011363636363636364,0.0
g6271,0.011363636363636364,0.0
g6272,0.011363636363636364,0.0
g6273,0.011363636363636364,0.0
g6274,0.011363636363636364,0.0
g6275,0.011363636363636364,0.0
g6276,0.011363636363636364,0.0
g6277,0.011363636363636364,0.0
g6278,0.011363636363636364,0.0
g6279,0.011363636363636364,0.0
g6280,0.011363636363636364,0.0
g6281,0.011363636363636364,0.0
g6282,0.011363636363636364,0.0
g6283,0.011363636363636364,0.0
g6284,0.011363636363636364,0.0
g6285,0.011363636363636364,0.0
g6842,0.011421897194602272,0.0
g6920,0.0,0.0
g6926,0.0,0.0
g6932,0.0,0.0
g6942,0.0,0.0
g6949,0.0,0.0
g6955,0.0,0.0
g7744,0.011363636363636364,0.0
g8061,0.011363636363636364,0.0
g8062,0.011363636363636364,0.0
g8271,0.0,0.0
g8313,0.011363636363636364,0.0
g8316,0.011363636363636364,0.0
g8318,0.011363636363636364,0.0
g8323,0.011363636363636364,0.0
g8328,0.011363636363636364,0.0
g8331,0.011363636363636364,0.0
g8335,0.011363636363636364,0.0
g8340,0.011363636363636364,0.0
g8347,0.011363636363636364,0.0
g8349,0.011363636363636364,0.0
g8352,0.011363636363636364,0.0
g8561,0.0,0.0
g8562,0.0,0.0
g8563,0.0,0.0
g8564,0.0,0.0
g8565,0.0,0.0
g8566,0.0,0.0
g8976,0.0,0.0
g8977,0.0,0.0
g8978,0.0,0.0
g8979,0.0,0.0
g8980,0.0,0.0
g8981,0.0,0.0
g8982,0.0,0.0
g8983,0.0,0.0
g8984,0.0,0.0
g8985,0.0,0.0
g8986,0.0,0.0
g9451,0.00872525301846591,0.0
g9961,0.00872525301846591,0.0
test_so1,0.0,0.0
test_so2,0.0,0.0
test_so3,0.0,0.0
test_so4,0.0,0.0
test_so5,0.0,0.0
test_so6,0.0,0.0
test_so7,0.0,0.0
test_so8,0.0,0.0
test_so9,0.0,0.0
test_so10,0.0,0.0
N599,0.0,0.0
g1289,0.0,0.0
g1882,0.0,0.0
g312,0.0,0.0
g452,0.0,0.0
g11257,0.0,0.0
g123,0.0,0.0
g207,0.0,0.0
g713,0.0,0.0
g1153,0.0,0.0
g1744,0.0,0.0
g1558,0.0,0.0
g695,0.0,0.0
g461,0.0,0.0
g940,0.0,0.0
g976,0.0,0.0
g709,0.0,0.0
g8432,0.0,0.0
g1092,0.0,0.0
g1574,0.0,0.0
g1864,0.0,0.0
g369,0.0,0.0
g1580,0.0,0.0
g1736,0.0,0.0
g1424,0.0,0.0
g1737,0.0,0.0
g1672,0.0,0.0
g1077,0.0,0.0
g1231,0.0,0.0
g4,0.0,0.0
g1104,0.0,0.0
g1304,0.0,0.0
g7290,0.011249889026988636,0.0
g243,0.0,0.0
g1499,0.0,0.0
g1444,0.0,0.0
g1543,0.0,0.0
g315,0.0,0.0
g1534,0.0,0.0
g622,0.0,0.0
g1927,0.0,0.0
g1660,0.0,0.0
g278,0.0,0.0
g1436,0.0,0.0
g718,0.0,0.0
g8433,0.0,0.0
g554,0.0,0.0
g496,0.0,0.0
g11333,0.0,0.0
g981,0.0,0.0
g829,0.0,0.0
g1095,0.0,0.0
g704,0.0,0.0
g1265,0.0,0.0
g7302,0.011249889026988636,0.0
g1786,0.0,0.0
g682,0.0,0.0
g8429,0.0,0.0
g1296,0.0,0.0
g7292,0.011249889026988636,0.0
g327,0.0,0.0
g1389,0.0,0.0
g1371,0.0,0.0
g1956,0.0,0.0
g1955,0.0,0.0
g1675,0.0,0.0
g354,0.0,0.0
g113,0.0,0.0
g639,0.0,0.0
g1684,0.0,0.0
g1639,0.0,0.0
g1791,0.0,0.0
g248,0.0,0.0
g1707,0.0,0.0
g1759,0.0,0.0
g351,0.0,0.0
g1604,0.0,0.0
g1098,0.0,0.0
g932,0.0,0.0
g1896,0.0,0.0
g8282,0.0,0.0
g736,0.0,0.0
g8435,0.0,0.0
g1019,0.0,0.0
g745,0.0,0.0
g1419,0.0,0.0
g32,0.0,0.0
g1086,0.0,0.0
g1486,0.0,0.0
g1730,0.0,0.0
g1504,0.0,0.0
g1470,0.0,0.0
g822,0.0,0.0
g1678,0.0,0.0
g174,0.0,0.0
g1766,0.0,0.0
g1801,0.0,0.0
g186,0.0,0.0
g959,0.0,0.0
g1407,0.0,0.0
g1868,0.0,0.0
g1718,0.0,0.0
g396,0.0,0.0
g11265,0.0,0.0
g1015,0.0,0.0
g1415,0.0,0.0
g1227,0.0,0.0
g1721,0.0,0.0
g284,0.0,0.0
g426,0.0,0.0
g11256,0.0,0.0
g219,0.0,0.0
g1360,0.0,0.0
g806,0.0,0.0
g1428,0.0,0.0
g1564,0.0,0.0
g1741,0.0,0.0
g225,0.0,0.0
g281,0.0,0.0
g1308,0.0,0.0
g611,0.0,0.0
g1217,0.0,0.0
g1589,0.0,0.0
g1466,0.0,0.0
g1571,0.0,0.0
g1861,0.0,0.0
g1448,0.0,0.0
g1133,0.0,0.0
g1333,0.0,0.0
g153,0.0,0.0
g962,0.0,0.0
g486,0.0,0.0
g11331,0.0,0.0
g471,0.0,0.0
g1397,0.0,0.0
g1950,0.0,0.0
g8288,0.0,0.0
g756,0.0,0.0
g755,0.0,0.0
g1101,0.0,0.0
g549,0.0,0.0
g105,0.0,0.0
g1669,0.0,0.0
g1531,0.0,0.0
g1458,0.0,0.0
g572,0.0,0.0
g1011,0.0,0.0
g1411,0.0,0.0
g1074,0.0,0.0
g444,0.0,0.0
g11259,0.0,0.0
g1474,0.0,0.0
g1080,0.0,0.0
g1713,0.0,0.0
g333,0.0,0.0
g269,0.0,0.0
g401,0.0,0.0
g11266,0.0,0.0
g1857,0.0,0.0
g9,0.0,0.0
g664,0.0,0.0
g965,0.0,0.0
g1400,0.0,0.0
g309,0.0,0.0
g814,0.0,0.0
g231,0.0,0.0
g557,0.0,0.0
g869,0.0,0.0
g875,0.0,0.0
g1383,0.0,0.0
g158,0.0,0.0
g627,0.0,0.0
g1023,0.0,0.0
g259,0.0,0.0
g1327,0.0,0.0
g654,0.0,0.0
g293,0.0,0.0
g1346,0.0,0.0
g1633,0.0,0.0
g1753,0.0,0.0
g1508,0.0,0.0
g1240,0.0,0.0
g7297,0.011249889026988636,0.0
g538,0.0,0.0
g11326,0.0,0.0
g416,0.0,0.0
g11269,0.0,0.0
g542,0.0,0.0
g11325,0.0,0.0
g1681,0.0,0.0
g374,0.0,0.0
g563,0.0,0.0
g1914,0.0,0.0
g8284,0.0,0.0
g530,0.0,0.0
g11328,0.0,0.0
g575,0.0,0.0
g1936,0.0,0.0
g1317,0.0,0.0
g1356,0.0,0.0
g357,0.0,0.0
g386,0.0,0.0
g11263,0.0,0.0
g1601,0.0,0.0
g166,0.0,0.0
g501,0.0,0.0
g11334,0.0,0.0
g262,0.0,0.0
g1840,0.0,0.0
g318,0.0,0.0
g794,0.0,0.0
g302,0.0,0.0
g342,0.0,0.0
g1250,0.0,0.0
g7299,0.011249889026988636,0.0
g1163,0.0,0.0
g1032,0.0,0.0
g1432,0.0,0.0
g1453,0.0,0.0
g363,0.0,0.0
g330,0.0,0.0
g1157,0.0,0.0
g928,0.0,0.0
g261,0.0,0.0
g516,0.0,0.0
g11337,0.0,0.0
g254,0.0,0.0
g861,0.0,0.0
g1627,0.0,0.0
g1292,0.0,0.0
g7293,0.011249889026988636,0.0
g290,0.0,0.0
g1583,0.0,0.0
g466,0.0,0.0
g1561,0.0,0.0
g1546,0.0,0.0
g287,0.0,0.0
g560,0.0,0.0
g617,0.0,0.0
g336,0.0,0.0
g456,0.0,0.0
g305,0.0,0.0
g345,0.0,0.0
g8,0.0,0.0
g255,0.0,0.0
g1945,0.0,0.0
g1738,0.0,0.0
g1478,0.0,0.0
g1690,0.0,0.0
g1482,0.0,0.0
g1110,0.0,0.0
g296,0.0,0.0
g1663,0.0,0.0
g700,0.0,0.0
g8431,0.0,0.0
g1762,0.0,0.0
g360,0.0,0.0
g192,0.0,0.0
g1657,0.0,0.0
g722,0.0,0.0
g566,0.0,0.0
g1089,0.0,0.0
g1071,0.0,0.0
g986,0.0,0.0
g971,0.0,0.0
g143,0.0,0.0
g1814,0.0,0.0
g1212,0.0,0.0
g1918,0.0,0.0
g1822,0.0,0.0
g237,0.0,0.0
g746,0.0,0.0
g1462,0.0,0.0
g178,0.0,0.0
g366,0.0,0.0
g837,0.0,0.0
g599,0.0,0.0
g1854,0.0,0.0
g944,0.0,0.0
g1941,0.0,0.0
g8287,0.0,0.0
g170,0.0,0.0
g1520,0.0,0.0
g686,0.0,0.0
g953,0.0,0.0
g1958,0.0,0.0
g1765,0.0,0.0
g1733,0.0,0.0
g7303,0.011249889026988636,0.0
g1610,0.0,0.0
g1796,0.0,0.0
g1324,0.0,0.0
g1540,0.0,0.0
g491,0.0,0.0
g11332,0.0,0.0
g213,0.0,0.0
g1781,0.0,0.0
g1900,0.0,0.0
g1245,0.0,0.0
g7298,0.011249889026988636,0.0
g148,0.0,0.0
g833,0.0,0.0
g1923,0.0,0.0
g8285,0.0,0.0
g936,0.0,0.0
g1314,0.0,0.0
g849,0.0,0.0
g1336,0.0,0.0
g272,0.0,0.0
g1806,0.0,0.0
g826,0.0,0.0
g1887,0.0,0.0
g8281,0.0,0.0
g968,0.0,0.0
g1137,0.0,0.0
g1891,0.0,0.0
g1255,0.0,0.0
g7300,0.011249889026988636,0.0
g257,0.0,0.0
g874,0.0,0.0
g591,0.0,0.0
g731,0.0,0.0
g636,0.0,0.0
g1218,0.0,0.0
g605,0.0,0.0
g182,0.0,0.0
g950,0.0,0.0
g1129,0.0,0.0
g857,0.0,0.0
g448,0.0,0.0
g11258,0.0,0.0
g1828,0.0,0.0
g1727,0.0,0.0
g1592,0.0,0.0
g1703,0.0,0.0
g1932,0.0,0.0
g8286,0.0,0.0
g1624,0.0,0.0
g440,0.0,0.0
g11260,0.0,0.0
g476,0.0,0.0
g11338,0.0,0.0
g119,0.0,0.0
g668,0.0,0.0
g139,0.0,0.0
g1149,0.0,0.0
g263,0.0,0.0
g818,0.0,0.0
g1747,0.0,0.0
g802,0.0,0.0
g275,0.0,0.0
g1524,0.0,0.0
g1577,0.0,0.0
g810,0.0,0.0
g391,0.0,0.0
g11264,0.0,0.0
g658,0.0,0.0
g1386,0.0,0.0
g253,0.0,0.0
g1125,0.0,0.0
g201,0.0,0.0
g1280,0.0,0.0
g7295,0.011249889026988636,0.0
g1083,0.0,0.0
g650,0.0,0.0
g1636,0.0,0.0
g853,0.0,0.0
g421,0.0,0.0
g11270,0.0,0.0
g956,0.0,0.0
g378,0.0,0.0
g1756,0.0,0.0
g841,0.0,0.0
g1027,0.0,0.0
g1003,0.0,0.0
g1403,0.0,0.0
g1145,0.0,0.0
g1107,0.0,0.0
g1223,0.0,0.0
g406,0.0,0.0
g11267,0.0,0.0
g1811,0.0,0.0
g1654,0.0,0.0
g197,0.0,0.0
g1595,0.0,0.0
g1537,0.0,0.0
g727,0.0,0.0
g8434,0.0,0.0
g798,0.0,0.0
g481,0.0,0.0
g11324,0.0,0.0
g1330,0.0,0.0
g845,0.0,0.0
g1512,0.0,0.0
g1490,0.0,0.0
g1166,0.0,0.0
g348,0.0,0.0
g1260,0.0,0.0
g7301,0.011249889026988636,0.0
g260,0.0,0.0
g131,0.0,0.0
g258,0.0,0.0
g521,0.0,0.0
g11330,0.0,0.0
g1318,0.0,0.0
g1872,0.0,0.0
g677,0.0,0.0
g1549,0.0,0.0
g947,0.0,0.0
g1834,0.0,0.0
g1598,0.0,0.0
g1121,0.0,0.0
g1321,0.0,0.0
g506,0.0,0.0
g11335,0.0,0.0
g546,0.0,0.0
g1909,0.0,0.0
g1552,0.0,0.0
g1687,0.0,0.0
g1586,0.0,0.0
g324,0.0,0.0
g1141,0.0,0.0
g1341,0.0,0.0
g1710,0.0,0.0
g135,0.0,0.0
g525,0.0,0.0
g11329,0.0,0.0
g1607,0.0,0.0
g321,0.0,0.0
g1275,0.0,0.0
g11443,0.011249889026988636,0.0
g1615,0.0,0.0
g382,0.0,0.0
g266,0.0,0.0
g1284,0.0,0.0
g7294,0.011249889026988636,0.0
g673,0.0,0.0
g8428,0.0,0.0
g162,0.0,0.0
g411,0.0,0.0
g11268,0.0,0.0
g431,0.0,0.0
g11262,0.0,0.0
g1905,0.0,0.0
g8283,0.0,0.0
g1515,0.0,0.0
g1630,0.0,0.0
g991,0.0,0.0
g1300,0.0,0.0
g7291,0.011249889026988636,0.0
g339,0.0,0.0
g256,0.0,0.0
g1750,0.0,0.0
g1440,0.0,0.0
g1666,0.0,0.0
g1528,0.0,0.0
g1351,0.0,0.0
g127,0.0,0.0
g1618,0.0,0.0
g1235,0.0,0.0
g7296,0.011249889026988636,0.0
g299,0.0,0.0
g435,0.0,0.0
g11261,0.0,0.0
g1555,0.0,0.0
g995,0.0,0.0
g1621,0.0,0.0
g643,0.0,0.0
g1494,0.0,0.0
g1567,0.0,0.0
g691,0.0,0.0
g8430,0.0,0.0
g534,0.0,0.0
g11327,0.0,0.0
g1776,0.0,0.0
g569,0.0,0.0
g1160,0.0,0.0
g1,0.0,0.0
g511,0.0,0.0
g11336,0.0,0.0
g1724,0.0,0.0
g12,0.0,0.0
g1878,0.0,0.0
g4500,0.0,0.0
g5529,0.011363636363636364,0.0
g4338,0.011363636363636364,0.0
g8147,0.011363636363636364,0.0
g6551,0.0,0.0
g10865,0.0,0.0
g8054,0.011363636363636364,0.0
g7709,0.011363636363636364,0.0
g4940,0.011363636363636364,0.0
g6481,0.0,0.0
g6529,0.0,0.0
g10707,0.0,0.0
g6949,0.0,0.0
g8940,0.0,0.0
g10855,0.0,0.0
g6920,0.0,0.0
g6907,0.0,0.0
g6155,0.011363636363636364,0.0
g6638,0.0,0.0
g11647,0.0,0.0
g6910,0.0,0.0
g6828,0.011363636363636364,0.0
g10800,0.0,0.0
g8019,0.011363636363636364,0.0
g6821,0.011363636363636364,0.0
g11478,0.0,0.0
g6516,0.0,0.0
g8244,0.011363636363636364,0.0
g8631,0.0,0.0
g10793,0.0,0.0
g5910,0.0,0.0
g2478,0.0,0.0
g10726,0.01308926669034091,0.0
g6824,0.011363636363636364,0.0
g9961,0.00872525301846591,0.0
g6759,0.011363636363636364,0.0
g6502,0.0,0.0
g10797,0.0,0.0
g4471,0.011363636363636364,0.0
g10780,0.0,0.0
g11625,0.0,0.0
g11372,0.011363636363636364,0.0
g10771,0.0,0.0
g11293,0.0,0.0
g8173,0.0,0.0
g6533,0.0,0.0
g8245,0.011363636363636364,0.0
g10767,0.0,0.0
g6000,0.0,0.0
g4490,0.011363636363636364,0.0
g4903,0.0,0.0
g10720,0.014576305042613636,0.0
g6934,0.0,0.0
g6123,0.011363636363636364,0.0
g6838,0.011363636363636364,0.0
g4905,0.0,0.0
g10798,0.0,0.0
g10785,0.0,0.0
g7204,0.0,0.0
g6830,0.011363636363636364,0.0
g8944,0.0,0.0
g5543,0.011363636363636364,0.0
g8921,0.0,0.0
g6096,0.0,0.0
g6942,0.0,0.0
g6733,0.011363636363636364,0.0
g6823,0.011363636363636364,0.0
g4890,0.0,0.0
g3381,0.0,0.0
g10863,0.0,0.0
g8039,0.011363636363636364,0.0
g6526,0.0,0.0
g10664,0.013069846413352272,0.0
g7189,0.0,0.0
g8923,0.0,0.0
g5173,0.011363636363636364,0.0
g4264,0.0,0.0
g6755,0.0,0.0
g11514,0.011363636363636364,0.0
g4506,0.011363636363636364,0.0
g4465,0.011363636363636364,0.0
g6902,0.0,0.0
g6015,0.0,0.0
g11340,0.011363636363636364,0.0
g6542,0.0,0.0
g6507,0.0,0.0
g5556,0.0,0.0
g8505,0.011363636363636364,0.0
g11641,0.011363636363636364,0.0
g10765,0.0,0.0
g11305,0.0,0.0
g6126,0.011363636363636364,0.0
g8060,0.011363636363636364,0.0
g7191,0.011363636363636364,0.0
g6469,0.0,0.0
g4498,0.011363636363636364,0.0
g6627,0.0,0.0
g4893,0.0,0.0
g5194,0.011363636363636364,0.0
g6901,0.0,0.0
g8043,0.011363636363636364,0.0
g6929,0.0,0.0
g8049,0.011363636363636364,0.0
g6786,0.011363636363636364,0.0
g6234,0.011363636363636364,0.0
g10864,0.0,0.0
g8984,0.0,0.0
g10862,0.0,0.0
g10721,0.014928644353693182,0.0
g8051,0.011363636363636364,0.0
g6541,0.0,0.0
g10773,0.0,0.0
g8193,0.0,0.0
g6523,0.0,0.0
g5404,0.0,0.0
g11393,0.011363636363636364,0.0
g4334,0.011363636363636364,0.0
g6908,0.0,0.0
g8768,0.011363636363636364,0.0
g8885,0.0,0.0
g6333,0.011363636363636364,0.0
g6045,0.0,0.0
g7590,0.011363636363636364,0.0
g6468,0.0,0.0
g10782,0.0,0.0
g6672,0.0,0.0
g6840,0.011363636363636364,0.0
g5914,0.0,0.0
g7705,0.011363636363636364,0.0
g6038,0.0,0.0
g6471,0.0,0.0
g11303,0.0,0.0
g10663,0.001156893643465909,0.0
g8920,0.0,0.0
g4283,0.0,0.0
g4484,0.011363636363636364,0.0
g5396,0.0,0.0
g8045,0.011363636363636364,0.0
g7843,0.011363636363636364,0.0
g6932,0.0,0.0
g6537,0.0,0.0
g4902,0.0,0.0
g6080,0.0,0.0
g6059,0.0,0.0
g4089,0.011363636363636364,0.0
g5126,0.011363636363636364,0.0
g10866,0.0,0.0
g11603,0.0,0.0
g6332,0.011363636363636364,0.0
g4231,0.0,0.0
g11488,0.0,0.0
g6955,0.0,0.0
g5918,0.011277632279829546,0.0
g6894,0.0,0.0
g4076,0.011363636363636364,0.0
g6534,0.0,0.0
g6928,0.0,0.0
g6926,0.0,0.0
g8055,0.011363636363636364,0.0
g11291,0.011363636363636364,0.0
g6833,0.011363636363636364,0.0
g6918,0.0,0.0
g6915,0.0,0.0
g6911,0.0,0.0
g7441,0.0,0.0
g5996,0.0,0.0
g8047,0.011363636363636364,0.0
g6653,0.0,0.0
g6832,0.011363636363636364,0.0
g11481,0.0,0.0
g6478,0.0,0.0
g6897,0.0,0.0
g6042,0.0,0.0
g4342,0.011363636363636364,0.0
g4330,0.011363636363636364,0.0
g11609,0.0,0.0
g10859,0.0,0.0
g6054,0.0,0.0
g6508,0.0,0.0
g6531,0.0,0.0
g8050,0.011363636363636364,0.0
g11376,0.011363636363636364,0.0
g8559,0.0,0.0
g7032,0.011277632279829546,0.0
g4293,0.0,0.0
g5390,0.011363636363636364,0.0
g8767,0.011363636363636364,0.0
g4480,0.011363636363636364,0.0
g11483,0.0,0.0
g5392,0.011363636363636364,0.0
g10776,0.0,0.0
g6513,0.0,0.0
g9272,0.011363636363636364,0.0
g10898,0.0,0.0
g8052,0.011363636363636364,0.0
g4325,0.011363636363636364,0.0
g8766,0.011363636363636364,0.0
g6205,0.011363636363636364,0.0
g8820,0.0,0.0
g9124,0.011363636363636364,0.0
g6839,0.011363636363636364,0.0
g6522,0.0,0.0
g10936,0.0,0.0
g11320,0.011363636363636364,0.0
g6841,0.011363636363636364,0.0
g8769,0.011363636363636364,0.0
g6224,0.011363636363636364,0.0
g11349,0.011363636363636364,0.0
g6470,0.0,0.0
g5755,0.011363636363636364,0.0
g6515,0.0,0.0
g10791,0.0,0.0
g7632,0.011363636363636364,0.0
g11485,0.0,0.0
g6331,0.011363636363636364,0.0
g8053,0.011363636363636364,0.0
g5763,0.011363636363636364,0.0
g6480,0.0,0.0
g6795,0.0,0.0
g8194,0.0,0.0
g8938,0.0,0.0
g4238,0.0,0.0
g8775,0.011363636363636364,0.0
g4891,0.0,0.0
g11290,0.011363636363636364,0.0
g6501,0.0,0.0
g6334,0.011363636363636364,0.0
g10719,0.014271129261363636,0.0
g4274,0.0,0.0
g8765,0.011363636363636364,0.0
g6916,0.0,0.0
g11308,0.0,0.0
g10784,0.0,0.0
g6820,0.011363636363636364,0.0
g4340,0.011363636363636364,0.0
g6922,0.0,0.0
g6747,0.011363636363636364,0.0
g11391,0.011363636363636364,0.0
g8649,0.0,0.0
g9555,0.011363636363636364,0.0
g6071,0.0,0.0
g10858,0.0,0.0
g8926,0.0,0.0
g4239,0.0,0.0
g11602,0.0,0.0
g8041,0.011363636363636364,0.0
g8922,0.0,0.0
g5536,0.011363636363636364,0.0
g11605,0.0,0.0
g8048,0.011363636363636364,0.0
g6528,0.0,0.0
g6524,0.0,0.0
g7219,0.0,0.0
g8046,0.011363636363636364,0.0
g11482,0.0,0.0
g4477,0.011363636363636364,0.0
g6923,0.0,0.0
g4255,0.0,0.0
g8937,0.0,0.0
g6538,0.0,0.0
g11306,0.0,0.0
g7183,0.0,0.0
g6895,0.0,0.0
g6179,0.011363636363636364,0.0
g9721,0.011363636363636364,0.0
g8776,0.0,0.0
g6827,0.011363636363636364,0.0
g4309,0.0,0.0
g7244,0.0,0.0
g7586,0.011363636363636364,0.0
g7930,0.0,0.0
g11300,0.0,0.0
g10718,0.0,0.0
g5445,0.011277632279829546,0.0
g6088,0.0,0.0
g6679,0.011277632279829546,0.0
g11636,0.011363636363636364,0.0
g9266,0.011363636363636364,0.0
g11608,0.0,0.0
g8059,0.011363636363636364,0.0
g8771,0.0,0.0
g6035,0.0,0.0
g6198,0.011363636363636364,0.0
g8973,0.0,0.0
g6834,0.011363636363636364,0.0
g5148,0.011363636363636364,0.0
g7134,0.0,0.0
g10795,0.0,0.0
g10770,0.0,0.0
g8773,0.0,0.0
g3462,0.0,0.0
g7143,0.0,0.0
g8939,0.0,0.0
g8772,0.011363636363636364,0.0
g6093,0.0,0.0
g6500,0.0,0.0
g8777,0.0,0.0
g6244,0.011363636363636364,0.0
g11640,0.011363636363636364,0.0
g11487,0.0,0.0
g9110,0.011363636363636364,0.0
g11380,0.011363636363636364,0.0
g9269,0.011363636363636364,0.0
g11314,0.0,0.0
g9150,0.011363636363636364,0.0
g11298,0.0,0.0
g7202,0.011363636363636364,0.0
g6819,0.011363636363636364,0.0
g6243,0.011363636363636364,0.0
g6514,0.0,0.0
g6983,0.0,0.0
g4473,0.011363636363636364,0.0
g8040,0.011363636363636364,0.0
g6900,0.0,0.0
g8042,0.011363636363636364,0.0
g6546,0.0,0.0
g5770,0.011363636363636364,0.0
g8889,0.0,0.0
g10711,0.0,0.0
g11312,0.0,0.0
g6479,0.0,0.0
g5849,0.011363636363636364,0.0
g6656,0.011363636363636364,0.0
g6906,0.0,0.0
g10717,0.0,0.0
g8770,0.0,0.0
g6392,0.016956676136363636,0.0
g6621,0.0,0.0
g11610,0.0,0.0
g11604,0.0,0.0
g11486,0.0,0.0
g7581,0.011363636363636364,0.0
g10799,0.0,0.0
g6439,0.011363636363636364,0.0
g7133,0.0,0.0
g8044,0.011363636363636364,0.0
g8254,0.011363636363636364,0.0
g11607,0.0,0.0
g6193,0.011363636363636364,0.0
g4904,0.0,0.0
g11292,0.011363636363636364,0.0
g6822,0.011363636363636364,0.0
g6912,0.0,0.0
g6898,0.0,0.0
g5421,0.011277632279829546,0.0
g6924,0.0,0.0
g11310,0.0,0.0
g11294,0.0,0.0
g6026,0.0,0.0
g8024,0.011363636363636364,0.0
g8945,0.0,0.0
g6525,0.0,0.0
g5083,0.011363636363636364,0.0
g7541,0.0,0.0
g10860,0.0,0.0
g11579,0.0,0.0
g11639,0.011363636363636364,0.0
g6826,0.011363636363636364,0.0
g7626,0.0,0.0
g6829,0.011363636363636364,0.0
g7660,0.0,0.0
g10722,0.015025745738636364,0.0
g8887,0.0,0.0
g11484,0.0,0.0
g6002,0.0,0.0
g11606,0.0,0.0
g6757,0.011363636363636364,0.0
g6216,0.011363636363636364,0.0
g8941,0.0,0.0
g4892,0.0,0.0
g6930,0.0,0.0
g8250,0.011363636363636364,0.0
g6049,0.0,0.0
g8943,0.0,0.0
g10861,0.0,0.0
g8779,0.0,0.0
g6180,0.011363636363636364,0.0
g8774,0.0,0.0
g8260,0.011363636363636364,0.0
g6099,0.0,0.0
g6831,0.011363636363636364,0.0
g6068,0.0,0.0
g7137,0.0,0.0
g6545,0.0,0.0
g7257,0.0,0.0
g6909,0.0,0.0
g8384,0.011363636363636364,0.0
g11392,0.011363636363636364,0.0
g6506,0.0,0.0
g8883,0.0,0.0
g6728,0.011363636363636364,0.0
g10724,0.014448686079545454,0.0
g4556,0.0,0.0
DFF_121_n1,0.0,0.0
DFF_122_n1,0.0,0.0
DFF_126_n1,0.0,0.0
DFF_136_n1,0.0,0.0
DFF_157_n1,0.0,0.0
DFF_168_n1,0.0,0.0
DFF_194_n1,0.0,0.0
DFF_228_n1,0.0,0.0
g8271,0.0,0.0
DFF_242_n1,0.0,0.0
DFF_275_n1,0.0,0.0
DFF_311_n1,0.0,0.0
DFF_319_n1,0.0,0.0
DFF_330_n1,0.0,0.0
DFF_336_n1,0.0,0.0
DFF_350_n1,0.0,0.0
DFF_384_n1,0.0,0.0
DFF_385_n1,0.0,0.0
DFF_436_n1,0.0,0.0
DFF_441_n1,0.0,0.0
DFF_445_n1,0.0,0.0
DFF_452_n1,0.0,0.0
DFF_489_n1,0.0,0.0
