     1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17
36   0  1  0  0  1  0  0  1  0   0   0   1   0   1   0   1   0
37   0  1  0  0  1  0  1  1  0   0   0   1   0   1   0   1   0
38   0  1  0  0  1  1  0  1  1   0   1   1   1   0   0   1   0
39   0  1  0  0  1  1  1  1  1   0   1   1   1   0   0   1   0
40   0  1  0  1  0  0  0  1  0   0   1   1   0   1   0   1   0
41   0  1  0  1  0  0  1  1  0   0   1   1   0   1   0   1   0
42   0  1  0  1  0  1  0  1  1   0   1   1   1   0   1   0   0
43   0  1  0  1  0  1  1  1  1   0   1   1   1   0   1   0   0
44   0  1  0  1  1  0  0  1  0   0   1   1   0   1   0   1   0
45   0  1  0  1  1  0  1  1  0   0   1   1   0   1   0   1   0
46   0  1  0  1  1  1  0  1  1   0   1   1   1   0   0   1   0
47   0  1  0  1  1  1  1  1  1   0   1   1   1   0   0   1   0
48   0  1  1  0  0  0  0  1  0   0   0   0   0   1   0   1   0
49   0  1  1  0  0  0  1  1  0   0   0   0   0   1   0   1   0
50   0  1  1  0  0  1  0  1  1   0   1   0   1   0   1   0   0
51   0  1  1  0  0  1  1  1  1   0   1   0   1   0   1   0   0
52   0  1  1  0  1  0  0  1  0   0   0   0   0   1   0   1   0
53   0  1  1  0  1  0  1  1  0   0   0   0   0   1   0   1   0
54   0  1  1  0  1  1  0  1  1   0   1   0   1   0   0   1   0
55   0  1  1  0  1  1  1  1  1   0   1   0   1   0   0   1   0
56   0  1  1  1  0  0  0  1  0   0   1   0   0   1   0   1   0
57   0  1  1  1  0  0  1  1  0   0   1   0   0   1   0   1   0
58   0  1  1  1  0  1  0  1  1   0   1   0   1   0   1   0   0
59   0  1  1  1  0  1  1  1  1   0   1   0   1   0   1   0   0
60   0  1  1  1  1  0  0  1  0   0   1   0   0   1   0   1   0
61   0  1  1  1  1  0  1  1  0   0   1   0   0   1   0   1   0
62   0  1  1  1  1  1  0  1  1   0   1   0   1   0   0   1   0
63   0  1  1  1  1  1  1  1  1   0   1   0   1   0   0   1   0
64   1  0  0  0  0  0  0  0  0   1   0   0   1   1   0   1   1
65   1  0  0  0  0  0  1  0  0   0   0   1   0   1   0   1   1
66   1  0  0  0  0  1  0  0  0   1   0   0   1   1   0   1   1
67   1  0  0  0  0  1  1  0  0   0   0   1   0   1   0   1   1
68   1  0  0  0  1  0  0  0  0   1   0   0   1   1   0   1   1
69   1  0  0  0  1  0  1  0  0   0   0   1   0   1   0   1   1
70   1  0  0  0  1  1  0  0  0   1   0   0   1   1   0   1   1
71   1  0  0  0  1  1  1  0  0   0   0   1   0   1   0   1   1
72   1  0  0  1  0  0  0  0  0   1   1   0   1   0   1   0   0
73   1  0  0  1  0  0  1  0  0   0   1   1   0   1   0   1   1
74   1  0  0  1  0  1  0  0  0   1   1   0   1   0   1   0   0
75   1  0  0  1  0  1  1  0  0   0   1   1   0   1   0   1   1
76   1  0  0  1  1  0  0  0  0   1   1   0   1   0   0   1   1
77   1  0  0  1  1  0  1  0  0   0   1   1   0   1   0   1   1
78   1  0  0  1  1  1  0  0  0   1   1   0   1   0   0   1   1
79   1  0  0  1  1  1  1  0  0   0   1   1   0   1   0   1   1
80   1  0  1  0  0  0  0  0  0   1   0   0   1   1   0   1   1
81   1  0  1  0  0  0  1  0  0   0   0   0   0   1   0   1   1
82   1  0  1  0  0  1  0  0  0   1   0   0   1   1   0   1   1
83   1  0  1  0  0  1  1  0  0   0   0   0   0   1   0   1   1
84   1  0  1  0  1  0  0  0  0   1   0   0   1   1   0   1   1
85   1  0  1  0  1  0  1  0  0   0   0   0   0   1   0   1   1
86   1  0  1  0  1  1  0  0  0   1   0   0   1   1   0   1   1
87   1  0  1  0  1  1  1  0  0   0   0   0   0   1   0   1   1
88   1  0  1  1  0  0  0  0  0   1   1   0   1   0   1   0   0
89   1  0  1  1  0  0  1  0  0   0   1   0   0   1   0   1   1
90   1  0  1  1  0  1  0  0  0   1   1   0   1   0   1   0   0
91   1  0  1  1  0  1  1  0  0   0   1   0   0   1   0   1   1
92   1  0  1  1  1  0  0  0  0   1   1   0   1   0   0   1   1
93   1  0  1  1  1  0  1  0  0   0   1   0   0   1   0   1   1
94   1  0  1  1  1  1  0  0  0   1   1   0   1   0   0   1   1
95   1  0  1  1  1  1  1  0  0   0   1   0   0   1   0   1   1
96   1  1  0  0  0  0  0  0  0   0   0   1   0   1   0   1   1
97   1  1  0  0  0  0  1  0  0   0   0   1   0   1   0   1   1
98   1  1  0  0  0  1  0  0  0   0   0   1   0   1   0   1   1
99   1  1  0  0  0  1  1  0  0   0   0   1   0   1   0   1   1
100  1  1  0  0  1  0  0  0  0   0   0   1   0   1   0   1   1
101  1  1  0  0  1  0  1  0  0   0   0   1   0   1   0   1   1
102  1  1  0  0  1  1  0  0  0   0   0   1   0   1   0   1   1
103  1  1  0  0  1  1  1  0  0   0   0   1   0   1   0   1   1
104  1  1  0  1  0  0  0  0  0   0   1   1   0   1   0   1   1
105  1  1  0  1  0  0  1  0  0   0   1   1   0   1   0   1   1
106  1  1  0  1  0  1  0  0  0   0   1   1   0   1   0   1   1
107  1  1  0  1  0  1  1  0  0   0   1   1   0   1   0   1   1
108  1  1  0  1  1  0  0  0  0   0   1   1   0   1   0   1   1
109  1  1  0  1  1  0  1  0  0   0   1   1   0   1   0   1   1
110  1  1  0  1  1  1  0  0  0   0   1   1   0   1   0   1   1
111  1  1  0  1  1  1  1  0  0   0   1   1   0   1   0   1   1
112  1  1  1  0  0  0  0  0  0   0   0   0   0   1   0   1   1
113  1  1  1  0  0  0  1  0  0   0   0   0   0   1   0   1   1
114  1  1  1  0  0  1  0  0  0   0   0   0   0   1   0   1   1
115  1  1  1  0  0  1  1  0  0   0   0   0   0   1   0   1   1
116  1  1  1  0  1  0  0  0  0   0   0   0   0   1   0   1   1
117  1  1  1  0  1  0  1  0  0   0   0   0   0   1   0   1   1
118  1  1  1  0  1  1  0  0  0   0   0   0   0   1   0   1   1
119  1  1  1  0  1  1  1  0  0   0   0   0   0   1   0   1   1
120  1  1  1  1  0  0  0  0  0   0   1   0   0   1   0   1   1
121  1  1  1  1  0  0  1  0  0   0   1   0   0   1   0   1   1
122  1  1  1  1  0  1  0  0  0   0   1   0   0   1   0   1   1
123  1  1  1  1  0  1  1  0  0   0   1   0   0   1   0   1   1
124  1  1  1  1  1  0  0  0  0   0   1   0   0   1   0   1   1
125  1  1  1  1  1  0  1  0  0   0   1   0   0   1   0   1   1
126  1  1  1  1  1  1  0  0  0   0   1   0   0   1   0   1   1
127  1  1  1  1  1  1  1  0  0   0   1   0   0   1   0   1   1
